time	ecart_critique	solde_stabilisant	solde_effectif	dette_maa
2014-07-01	-0.020211026781892207	-0.014903953621434266	-0.045739999999999996	0.965849024091504
2014-10-01	-0.023408877782916115	-0.014780675519758955	-0.045739999999999996	0.9604237346297887
2015-01-01	-0.02805539761773336	-0.01635981629327254	-0.038919999999999996	0.9795543002567533
2015-04-01	-0.025644204806599638	-0.019370171806543594	-0.038919999999999996	0.9823591944939067
2015-07-01	-0.02373633000446925	-0.0190657112686206	-0.038919999999999996	0.9771781731580541
2015-10-01	-0.025521280098551716	-0.02036552287781968	-0.038919999999999996	0.9691905540579435
2016-01-01	-0.02824331593948055	-0.01955837521627311	-0.03765	0.9887112865446341
2016-04-01	-0.031167513834481058	-0.01789424705888824	-0.03765	0.9990468107802277
2016-07-01	-0.03468413631236693	-0.015445147693355338	-0.03765	0.9918485467721881
2016-10-01	-0.030577056850288577	-0.012318750342507465	-0.03765	0.9820082460897872
2017-01-01	-0.02642445361873795	-0.011348947972333467	-0.033620000000000004	1.0074500394539943
2017-04-01	-0.027920339221454232	-0.015777865690898125	-0.033620000000000004	1.0114301852478298
2017-07-01	-0.02820199581113287	-0.021980597273376375	-0.033620000000000004	1.0019187174314865
2017-10-01	-0.028258988717339752	-0.02761123074539287	-0.033620000000000004	0.9864762143860861
2018-01-01	-0.02704277301354998	-0.030469205032407114	-0.02319	0.9914569259643514
2018-04-01	-0.02852975042833842	-0.0293354150475469	-0.02319	0.991679868274976
2018-07-01	-0.028704203870737126	-0.02773387198245656	-0.02319	0.9937368556434527
2018-10-01	-0.02795503337966215	-0.026178392678340583	-0.02319	0.9846441839507283
2019-01-01	-0.02950935097746405	-0.0275217887365654	-0.023940000000000003	0.9932789052487107
2019-04-01	-0.03228379606299486	-0.032003151350388746	-0.023940000000000003	0.9902836404443309
2019-07-01	-0.03750673399778329	-0.033558797785951375	-0.023940000000000003	0.9991916633157987
2019-10-01	-0.036730312528447544	-0.03218384218102938	-0.023940000000000003	0.9803325755883473
2020-01-01	-0.04231940487060446	-0.016173120633090857	-0.08932999999999999	1.0114786993123368
2020-04-01	-0.0535620960946186	0.02623788738539573	-0.08932999999999999	1.1294781016022115
2020-07-01	-0.0431236771105403	0.04659691478251941	-0.08932999999999999	1.151798298608738
2020-10-01	-0.04440016474084953	0.058807446603023616	-0.08932999999999999	1.1495428410654214
2021-01-01	-0.04263939768399247	0.03980145428293331	-0.06585	1.177660014153313
2021-04-01	-0.038567367245092	-0.038674501960227994	-0.06585	1.1461564194588878
2021-07-01	-0.03715584734943559	-0.06332203662411369	-0.06585	1.1560022286728837
2021-10-01	-0.03536404023305471	-0.0864413680791373	-0.06585	1.1293155759956566
2022-01-01	-0.030484838465780997	-0.09232944245488338	-0.047439999999999996	1.14536054178157
2022-04-01	-0.0198428611206931	-0.0712392176847572	-0.047439999999999996	1.1307985926532913
2022-07-01	-0.015247185366116332	-0.0649064294233889	-0.047439999999999996	1.132727162894478
2022-10-01	-0.006692383890678458	-0.061463608193688936	-0.047439999999999996	1.1141641262221744
2023-01-01	-0.0040363605850719485	-0.05962197754753085	-0.05367	1.1208373034601697
2023-04-01	-0.0012932570823852574	-0.06417640704972034	-0.05367	1.112486888950457
2023-07-01	7.352793220379919e-4	-0.06745886933371703	-0.05367	1.1094525312656238
2023-10-01	0.0010734536753368128	-0.06741358987402166	-0.05367	1.0962049226579287
2024-01-01	-0.00200512183891257	-0.06277424861602349	-0.05773	1.1036863921627373
2024-04-01	-2.500146963031191e-4	-0.05034170862870007	-0.05773	1.1205151379003482
2024-07-01	3.7096464279927355e-5	-0.04354447852861968	-0.05773	1.1358108280127681
2024-10-01	-4.493081691099264e-4	-0.03437976208174389	-0.05773	1.1314057253175693
2025-01-01	0.001977649664040765	-0.026677554627431953	-0.054000000000000006	1.139661119957049
2025-04-01	0.00200674291761474	-0.026070488934892284	-0.054000000000000006	1.157229099723658
