date	pays	taux
1995-02-23	italy	12.541
1995-02-24	france	8.025
1995-02-24	germany	7.415
1995-02-24	italy	12.627
1995-02-27	france	7.944
1995-02-27	germany	7.299
1995-02-27	italy	13.065
1995-02-28	france	8.006
1995-02-28	germany	7.372
1995-02-28	italy	12.968
1995-03-01	france	7.97
1995-03-01	germany	7.293
1995-03-01	italy	12.911
1995-03-02	france	8.048
1995-03-02	germany	7.383
1995-03-02	italy	12.956
1995-03-03	france	8.092
1995-03-03	germany	7.385
1995-03-03	italy	13.157
1995-03-06	france	8.148
1995-03-06	germany	7.343
1995-03-06	italy	13.436
1995-03-07	france	8.355
1995-03-07	germany	7.447
1995-03-07	italy	13.518
1995-03-08	france	8.24
1995-03-08	germany	7.393
1995-03-08	italy	13.746
1995-03-09	france	8.261
1995-03-09	germany	7.419
1995-03-09	italy	13.51
1995-03-10	france	8.225
1995-03-10	germany	7.347
1995-03-10	italy	13.496
1995-03-13	france	8.206
1995-03-13	germany	7.356
1995-03-13	italy	13.503
1995-03-14	france	8.041
1995-03-14	germany	7.255
1995-03-14	italy	13.476
1995-03-15	france	8.049
1995-03-15	germany	7.259
1995-03-15	italy	13.584
1995-03-16	france	7.962
1995-03-16	germany	7.154
1995-03-16	italy	13.534
1995-03-17	france	8.019
1995-03-17	germany	7.149
1995-03-17	italy	13.651
1995-03-20	france	7.975
1995-03-20	germany	7.129
1995-03-20	italy	13.667
1995-03-21	france	7.888
1995-03-21	germany	7.131
1995-03-21	italy	13.534
1995-03-22	france	7.954
1995-03-22	germany	7.168
1995-03-22	italy	13.464
1995-03-23	france	7.927
1995-03-23	germany	7.178
1995-03-23	italy	13.645
1995-03-24	france	7.873
1995-03-24	germany	7.145
1995-03-24	italy	13.531
1995-03-27	france	7.902
1995-03-27	germany	7.156
1995-03-27	italy	13.408
1995-03-28	france	7.934
1995-03-28	germany	7.156
1995-03-28	italy	13.315
1995-03-29	france	7.93
1995-03-29	germany	7.134
1995-03-29	italy	13.471
1995-03-30	france	7.794
1995-03-30	germany	7.152
1995-03-30	italy	13.354
1995-03-31	france	7.903
1995-03-31	germany	7.186
1995-03-31	italy	13.397
1995-04-03	france	7.811
1995-04-03	germany	7.081
1995-04-03	italy	13.549
1995-04-04	france	7.792
1995-04-04	germany	7.043
1995-04-04	italy	13.438
1995-04-05	france	7.772
1995-04-05	germany	7.029
1995-04-05	italy	13.421
1995-04-06	france	7.78
1995-04-06	germany	7.037
1995-04-06	italy	13.374
1995-04-07	france	7.758
1995-04-07	germany	7.077
1995-04-07	italy	13.3
1995-04-10	france	7.785
1995-04-10	germany	7.113
1995-04-10	italy	13.31
1995-04-11	france	7.812
1995-04-11	germany	7.146
1995-04-11	italy	13.293
1995-04-12	france	7.809
1995-04-12	germany	7.086
1995-04-12	italy	13.399
1995-04-13	france	7.76
1995-04-13	germany	7.055
1995-04-13	italy	13.312
1995-04-18	france	7.819
1995-04-18	germany	7.044
1995-04-18	italy	13.471
1995-04-19	france	7.914
1995-04-19	germany	7.113
1995-04-19	italy	13.552
1995-04-20	france	7.899
1995-04-20	germany	7.065
1995-04-20	italy	13.532
1995-04-21	france	7.834
1995-04-21	germany	7.074
1995-04-21	italy	13.473
1995-04-24	france	7.795
1995-04-24	germany	7.044
1995-04-24	italy	13.493
1995-04-25	france	7.817
1995-04-25	germany	7.083
1995-04-25	italy	13.52
1995-04-26	france	7.78
1995-04-26	germany	7.027
1995-04-26	italy	13.403
1995-04-27	france	7.808
1995-04-27	germany	7.041
1995-04-27	italy	13.297
1995-04-28	france	7.805
1995-04-28	germany	7.021
1995-04-28	italy	13.17
1995-05-02	france	7.883
1995-05-02	germany	7.052
1995-05-02	italy	12.993
1995-05-03	france	7.76
1995-05-03	germany	7
1995-05-03	italy	12.943
1995-05-04	france	7.732
1995-05-04	germany	6.962
1995-05-04	italy	12.817
1995-05-05	france	7.665
1995-05-05	germany	6.872
1995-05-05	italy	12.596
1995-05-08	france	NA
1995-05-08	germany	6.884
1995-05-08	italy	12.519
1995-05-09	france	7.543
1995-05-09	germany	6.854
1995-05-09	italy	12.516
1995-05-10	france	7.454
1995-05-10	germany	6.875
1995-05-10	italy	12.065
1995-05-11	france	7.48
1995-05-11	germany	6.911
1995-05-11	italy	11.964
1995-05-12	france	7.484
1995-05-12	germany	6.909
1995-05-12	italy	12.082
1995-05-15	france	7.519
1995-05-15	germany	6.853
1995-05-15	italy	11.911
1995-05-16	france	7.421
1995-05-16	germany	6.794
1995-05-16	italy	11.972
1995-05-17	france	7.429
1995-05-17	germany	6.773
1995-05-17	italy	12.043
1995-05-18	france	7.423
1995-05-18	germany	6.789
1995-05-18	italy	12.091
1995-05-19	france	7.466
1995-05-19	germany	6.792
1995-05-19	italy	12.103
1995-05-22	france	7.424
1995-05-22	germany	6.803
1995-05-22	italy	12.117
1995-05-23	france	7.444
1995-05-23	germany	6.778
1995-05-23	italy	12.214
1995-05-24	france	7.409
1995-05-24	germany	6.707
1995-05-24	italy	12.198
1995-05-26	france	7.426
1995-05-26	germany	6.651
1995-05-26	italy	12.336
1995-05-29	france	7.467
1995-05-29	germany	6.669
1995-05-29	italy	12.434
1995-05-30	france	7.451
1995-05-30	germany	6.622
1995-05-30	italy	12.337
1995-05-31	france	7.44
1995-05-31	germany	6.58
1995-05-31	italy	12.163
1995-06-01	france	7.412
1995-06-01	germany	6.58
1995-06-01	italy	12.22
1995-06-02	france	7.347
1995-06-02	germany	6.544
1995-06-02	italy	12.15
1995-06-05	france	NA
1995-06-05	germany	6.616
